ID	Replicate	PRL_mm	Description
5	1	38.0896	
	2	18.5160	
	3	42.4873	
	4	31.8138	
	5	24.4692	
	6	53.1781	
	7	37.9047	
7	1	49.4150	
	2	53.1602	
	3	59.3478	
	4	41.6920	
	5	92.7926	
	6	12.7605	
	7	2.4256	
	8	32.3018	
	9	3.3867	
	10	57.0704	
8	1	10.7712	
	2	26.9048	
	3	44.5155	
	4	55.9847	
	5	5.7859	
	6	71.5813	
	7	66.5787	
	8	56.3392	
10	1	36.8009	
	2	35.7547	
	3	15.7728	
	4	37.2914	
	5	34.3668	
2	1	74.1952	
	2	81.5272	
	3	81.0660	
	4	77.5769	
	5	81.5017	
	6	82.8694	
	7	48.2189	
	8	50.5190	
4	1	46.9473	
	2	36.2014	
	3	36.4832	
	4	32.6488	
	5	45.5694	
	6	47.8264	
6	1	51.0372	
	2	30.8503	
	3	13.4150	
	4	17.3622	
	5	51.2989	
	6	52.4916	
	7	48.6762	
	8	41.2188	
	9	33.1582	
11	1	37.1690	
	2	30.9911	
	3	37.8637	
	4	43.6777	
	5	41.4391	
	6	26.7469	
	7	31.9198	
3	1	20.9187	
	2	29.6040	
	3	37.2766	
	4	23.8676	
	5	7.5562	
	6	7.5546	
	7	26.4621	
1	1	60.9049	
	2	61.1416	
	3	75.7013	
	4	74.8055	
	5	76.2144	
	6	88.7688	
	7	68.1214	
14	1	33.9565	
	2	37.2634	
	3	38.6022	
	4	13.1968	
12	1	13.7007	
	2	41.5989	
	3	45.2838	
	4	48.9260	
	5	50.8802	
	6	30.0716	
13	1	78.5800	
	2	89.8334	
	3	78.1189	
	4	90.7900	
	5	58.0906	
	6	54.2800	
	7	65.1315	
9	1	28.4251	
	2	23.1028	
	3	15.9523	
	4	34.0754	
	5	34.5359	
	6	1.3547	
	7	6.1759	
	8	0.6773	
	9	3.7253	
19	1	46.9421	
	2	50.4227	
	3	72.7376	
	4	31.1475	
	5	52.4143	
15	1	55.0172	
	2	43.1013	
21	1	37.6622	
	2	28.1113	
	3	36.5113	
	4	61.3155	
	5	28.4928	
	6	51.2899	
	7	4.5391	
	8	32.3145	
20	1	39.0855	
	2	41.1600	
	3	41.7837	
	4	74.6975	
	5	52.1955	
	6	33.7271	
	7	25.7917	
	8	55.2423	
	9	53.0748	
15	1	81.4220	
	2	61.1050	
	3	65.6085	
	4	102.3927	
	5	67.6477	
	6	73.2455	
22	1	75.4406	
	2	76.9671	
	3	78.5232	
	4	60.2807	
	5	80.1041	
	6	78.7315	
	7	82.0900	
	8	80.5854	
23	1	45.5668	
	2	80.2303	
	3	74.0976	
	4	75.4621	
	5	72.0014	
	6	76.0032	
17	1	63.5538	
	2	29.7122	
	3	28.5082	
	4	15.3862	
	5	59.7814	
25	1	53.7751	
	2	45.5022	
	3	50.7361	
	4	36.8373	
	5	45.5720	
	6	46.9339	
24	1	55.2812	
	2	48.9203	
	3	64.0245	
	4	73.3160	
	5	73.2168	
	6	83.4165	
	7	79.6111	
	8	75.5380	
27	1	57.2273	
	2	4.7227	
	3	3.7238	
	4	2.5400	
	5	1.4833	
	6	3.8196	
26	1	56.6536	
	2	44.5010	
	3	35.7545	
	4	26.7972	
	5	30.9163	
	6	54.4213	
	7	63.7975	
	8	36.0968	
	9	24.9004	
28	1	76.5846	
	2	78.0746	
	3	89.9072	
	4	85.1982	
	5	67.6252	
	6	65.9756	
	7	77.3197	
	8	59.4055	
	9	68.6500	
18	1	55.1046	
	2	79.3207	
	3	79.3114	
	4	80.7894	
	5	91.7862	
	6	87.6577	
	7	73.8354	
	8	77.8598	
30	1	72.8024	
	2	75.0583	
	3	74.4842	
	4	69.1304	
	5	73.9148	
	6	83.7994	
	7	84.4235	
	8	74.6804	
	9	76.9592	
	10	67.8340	
29	1	74.6008	
	2	68.3120	
	3	69.1848	
	4	76.6533	
	5	69.5124	
32	1	92.5287	
	2	88.0776	
	3	73.8416	
	4	61.5406	
	5	83.3569	
	6	72.7846	
	7	94.8166	
	8	84.1202	
39	1	98.3019	
	2	100.3122	
	3	106.7544	
	4	96.7188	
	5	98.3568	
	6	93.7963	
	7	94.9182	
	8	100.1038	
	9	99.8028	
37	1	56.8513	
	2	51.9397	
	3	87.7850	
	4	72.3614	
	5	80.0926	
	6	53.1674	
	7	56.4806	
	8	85.5471	
	9	87.4268	
	10	85.1839	
41	1	97.5678	
	2	97.3464	
	3	105.0326	
	4	94.3227	
	5	92.5114	
	6	89.4843	
36	1	78.3582	
	2	58.5444	
	3	90.1800	
	4	85.6593	
	5	82.5111	
	6	104.8397	
	7	80.4110	
	8	50.7905	
	9	59.0893	
44	1	95.2739	
	2	91.6557	
	3	101.5033	
	4	98.8336	
46	1	100.9537	
	2	102.7829	
	3	103.3366	
	4	103.9664	
	5	111.2067	
42	1	102.4962	
	2	68.6502	
	3	59.7508	
	4	99.1193	
	5	53.5177	
	6	57.9041	
	7	71.2671	
	8	89.2312	
	9	77.1750	
	10	75.3568	
	11	55.4298	
	12	68.5305	
34	1	51.9777	
	2	81.8229	
	3	57.0606	
	4	52.5907	
	5	78.7018	
	6	68.6366	
	7	56.6244	
	8	71.8462	
	9	82.6337	
	10	70.8648	
	11	88.5383	
33	1	8.0879	
	2	5.8290	
	3	5.9254	
	4	6.2875	
	5	5.7990	
43	1	87.8578	
	2	69.8528	
	3	86.1929	
	4	87.9451	
	5	92.8429	
35	1	91.7216	
	2	95.7145	
