ID	Replicate	SFW_mg	Description
10	1	36.7	
	2	46.4	
	3	93.3	
	4	49.7	
	5	74.3	
12	1	13.6	
	2	9.3	
	3	30.3	
	4	20.4	
	5	17.3	
11	1	7.8	
	2	2.3	
	3	1.1	
	4	0.6	
	5	4.2	
6	1	22.0	
	2	5.4	
	3	9.7	
	4	8.5	
4	1	8.0	
	2	5.4	
	3	12.4	
	4	8.8	
	5	2.4	
	6	7.7	
2	1	63.2	
	2	102.6	
	3	111.1	
	4	35.4	
	5	90.1	
	6	107.8	
7	1	21.3	
	2	95.4	
	3	47.3	
13	1	18.5	
	2	160.8	
	3	46.4	
	4	61.0	
	5	66.3	
	6	20.8	
	7	34.2	
9	1	1.3	
	2	1.5	
	3	1.9	
	4	1.1	
	5	0.9	
15	1	29.9	
	2	19.9	
16	1	81.3	
	2	224.3	
	3	119.4	
	4	149.5	
17	1	46.7	
	2	29.2	
	3	20.9	
	4	12.0	
	5	11.7	
18	1	131.5	
	2	107.3	
	3	59.9	
	4	84.3	
	5	61.6	
	6	74.1	
	7	65.1	
19	1	51.9	
	2	29.1	
	3	19.9	
	4	25.7	
20	1	11.0	
	2	10.1	
	3	5.5	
	4	26.7	
	5	26.4	
	6	23.5	
	7	24.1	
	8	26.5	
	9	27.1	
	10	24.2	
	11	25.1	
21	1	34.5	
	2	26.8	
	3	18.8	
	4	14.6	
	5	32.0	
22	1	184.2	
	2	55.2	
	3	108.3	
	4	84.5	
	5	205.7	
	6	164.5	
23	1	136.7	
	2	189.8	
	3	191.2	
24	1	89.6	
	2	189.1	
	3	27.1	
	4	13.9	
	5	65.5	
	6	55.1	
	7	117.6	
	8	79.2	
25	1	50.2	
	2	30.3	
	3	34.1	
	4	20.7	
26	1	29.2	
	2	12.4	
	3	18.3	
	4	17.4	
	5	21.3	
	6	13.7	
	7	14.3	
	8	17.5	
	9	17.1	
	10	15.6	
27	1	16.9	
	2	4.6	
	3	4.6	
	4	3.4	
	5	2.3	
28	1	132.4	
	2	116.8	
	3	77.1	
	4	93.9	
	5	129.3	
	6	63.9	
29	1	187.5	
	2	163.3	
	3	119.4	
30	1	34.5	
	2	186.4	
	3	99.1	
	4	33.0	
	5	177.7	
	6	38.4	
	7	57.9	
	8	113.8	
31	1	57.8	
	2	58.6	
	3	178.5	
	4	81.5	
	5	86.1	
	6	217.1	
32	1	45.2	
	2	35.6	
	3	14.6	
	4	5.5	
	5	9.0	
	6	16.2	
	7	17.3	
	8	20.6	
	9	36.0	
	10	19.5	
	11	16.7	
38	1	121.6	
	2	92.7	
	3	52.1	
	4	59.8	
	5	121.6	
	6	92.0	
40	1	41.0	
	2	45.3	
	3	22.2	
	4	30.7	
	5	28.5	
	6	45.4	
	7	34.4	
	8	22.4	
	9	18.4	
	10	16.5	
	11	17.4	
35	1	61.9	
	2	66.2	
	3	27.4	
	4	24.5	
36	1	21.8	
	2	17.1	
	3	24.2	
	4	12.9	
	5	21.7	
	6	26.2	
	7	27.3	
	8	27.8	
	9	10.2	
	10	10.0	
45	1	38.2	
	2	69.1	
	3	53.1	
	4	34.2	
	5	24.1	
	6	27.2	
	7	19.2	
46	1	185.8	
	2	154.1	
	3	51.9	
	4	175.5	
44	1	88.6	
	2	170.5	
	3	60.3	
41	1	168.1	
	2	166.4	
	3	131.1	
	4	30.7	
39	1	49.9	
	2	124.3	
	3	66.0	
	4	124.3	
	5	121.0	
	6	75.1	
	7	29.1	
	8	19.8	
	9	34.3	
	10	54.7	
	11	45.6	
	12	41.1	
	13	24.9	
	14	29.0	
	15	26.4	
	16	20.5	
	17	11.2	
37	1	20.7	
	2	18.0	
	3	9.9	
	4	6.7	
	5	13.1	
	6	12.5	
	7	11.1	
	8	17.4	
	9	18.8	
	10	13.8	
	11	25.2	
	12	25.2	
	13	21.8	
	14	18.5	
	15	12.2	
	16	11.2	
	17	7.0	
42	1	12.1	
	2	28.7	
	3	4.8	
	4	13.0	
	5	10.9	
	6	24.2	
	7	12.4	
	8	19.2	
	9	12.1	
	10	16.0	
	11	29.0	
	12	8.8	
	13	11.2	
	14	11.0	
	15	32.7	
	16	25.7	
	17	18.8	
	18	17.5	
43	1	29.6	
	2	18.7	
	3	26.3	
	4	35.3	
	5	28.6	
	6	27.9	
	7	11.7	
	8	8.5	
	9	21.3	
34	1	18.1	
	2	12.6	
	3	16.3	
	4	17.0	
	5	12.6	
	6	26.3	
	7	32.4	
	8	12.6	
	9	14.4	
	10	13.5	
	11	14.1	
