Genotype	Condition	n	mean	median	sd	measure
Col-0	mock	40	161.595	127.2	96.9089685193645	SFW_mg
Col-0	no Fe2+	39	49.8615384615385	46.8	27.3952417630336	SFW_mg
meb3-1	mock	41	148.1	136.7	83.8113059199056	SFW_mg
meb3-1	no Fe2+	49	42.6897959183673	34.8	31.3410556412429	SFW_mg
meb3-2	mock	38	158.973684210526	157.4	75.6427152463707	SFW_mg
meb3-2	no Fe2+	48	35.1645833333333	34.9	24.0028942366871	SFW_mg
Col-0	mock	55	87.1864563636364	92.598	33.5991840456578	PRL_mm
Col-0	no Fe2+	46	65.9241913043478	71.7845	25.6279982202957	PRL_mm
meb3-1	mock	58	84.5045068965517	87.0095	15.1296233115161	PRL_mm
meb3-1	no Fe2+	53	58.5254471698113	52.4916	24.346628364579	PRL_mm
meb3-2	mock	69	76.3186594202899	81.25	27.9377616270488	PRL_mm
meb3-2	no Fe2+	58	52.7137793103448	50.5685	26.5334789687515	PRL_mm
